Rank,NodeID,Score,Status
1,414,0.0553545,Seed
2,348,0.0551876,Seed
3,107,0.0551133,Seed
4,686,0.055013,Seed
5,0,0.0549978,Seed
6,853,0.00872032,Suspicious
7,563,0.00610556,Suspicious
8,1911,0.00590208,Suspicious
9,1902,0.00567285,Suspicious
10,1882,0.00542919,Suspicious
11,681,0.00541271,Suspicious
12,332,0.00515366,Suspicious
13,570,0.00463092,Suspicious
14,1888,0.00432802,Suspicious
15,1910,0.00403846,Suspicious
16,683,0.00401639,Suspicious
17,848,0.00371158,Suspicious
18,685,0.00368039,Suspicious
19,651,0.00365982,Suspicious
20,680,0.00364212,Suspicious
21,682,0.00357538,Suspicious
22,856,0.00355726,Suspicious
23,1907,0.0035243,Suspicious
24,557,0.0033644,Suspicious
25,1844,0.00336236,Suspicious
26,561,0.00325027,Suspicious
27,675,0.00322848,Suspicious
28,684,0.00312878,Suspicious
29,840,0.00302064,Suspicious
30,842,0.00299217,Suspicious
31,828,0.0029302,Suspicious
32,671,0.00288076,Suspicious
33,329,0.00285529,Suspicious
34,1894,0.00273925,Suspicious
35,849,0.00273094,Suspicious
36,559,0.00267605,Suspicious
37,322,0.00267319,Suspicious
38,833,0.00262266,Suspicious
39,1897,0.00261844,Suspicious
40,566,0.00260359,Suspicious
41,342,0.0025882,Suspicious
42,339,0.00256096,Suspicious
43,834,0.00245691,Suspicious
44,567,0.00244233,Suspicious
45,1898,0.00231948,Suspicious
46,670,0.00230109,Suspicious
47,669,0.00227998,Suspicious
48,827,0.0022522,Suspicious
49,830,0.0022458,Suspicious
50,346,0.00223163,Suspicious
51,678,0.00221747,Suspicious
52,553,0.00220766,Suspicious
53,889,0.00220262,Suspicious
54,343,0.00216353,Suspicious
55,604,0.00215795,Suspicious
56,555,0.00212213,Suspicious
57,839,0.00212036,Suspicious
58,847,0.00211205,Suspicious
59,645,0.00209053,Suspicious
60,829,0.00206601,Suspicious
61,1906,0.0020291,Suspicious
62,556,0.00202651,Suspicious
63,666,0.00197844,Suspicious
64,554,0.00194793,Suspicious
65,544,0.00185422,Suspicious
66,1891,0.00184877,Suspicious
67,591,0.00183434,Suspicious
68,323,0.00180982,Suspicious
69,315,0.00179675,Suspicious
70,637,0.00176937,Suspicious
71,1893,0.00173328,Suspicious
72,606,0.00173328,Suspicious
73,1878,0.00172034,Suspicious
74,838,0.00167199,Suspicious
75,580,0.00167035,Suspicious
76,850,0.0016205,Suspicious
77,1879,0.00160947,Suspicious
78,572,0.00160716,Suspicious
79,340,0.00159531,Suspicious
80,822,0.00155949,Suspicious
81,542,0.00155104,Suspicious
82,665,0.00155063,Suspicious
