Rank,NodeID,Score,Status
1,414,0.170685,Seed
2,107,0.170613,Seed
3,348,0.170569,Seed
4,686,0.170538,Seed
5,0,0.170538,Seed
6,563,0.000538787,Suspicious
7,561,0.000392003,Suspicious
8,566,0.000389654,Suspicious
9,559,0.000384492,Suspicious
10,553,0.000371429,Suspicious
11,853,0.000361386,Suspicious
12,567,0.000361187,Suspicious
13,475,0.000359533,Suspicious
14,544,0.0003587,Suspicious
15,556,0.000351566,Suspicious
16,542,0.000345942,Suspicious
17,513,0.000344454,Suspicious
18,483,0.000343501,Suspicious
19,428,0.000339753,Suspicious
20,524,0.000334789,Suspicious
21,500,0.000327355,Suspicious
22,514,0.000325534,Suspicious
23,506,0.000325075,Suspicious
24,515,0.000324092,Suspicious
25,496,0.000321364,Suspicious
26,465,0.000316808,Suspicious
27,492,0.000315469,Suspicious
28,558,0.000313943,Suspicious
29,461,0.000305224,Suspicious
30,431,0.000303605,Suspicious
31,436,0.000303461,Suspicious
32,681,0.000301733,Suspicious
33,438,0.000301447,Suspicious
34,434,0.000300087,Suspicious
35,682,0.000298642,Suspicious
36,651,0.000297825,Suspicious
37,423,0.000297145,Suspicious
38,422,0.000297093,Suspicious
39,480,0.000295043,Suspicious
40,427,0.000294603,Suspicious
41,680,0.000287991,Suspicious
42,828,0.000283428,Suspicious
43,683,0.00028331,Suspicious
44,678,0.00027607,Suspicious
45,833,0.000274653,Suspicious
46,675,0.000272267,Suspicious
47,685,0.000259961,Suspicious
48,848,0.000257191,Suspicious
49,684,0.000257093,Suspicious
50,670,0.000255514,Suspicious
51,637,0.000253628,Suspicious
52,580,0.000249278,Suspicious
53,842,0.000248921,Suspicious
54,856,0.000246803,Suspicious
55,606,0.000245819,Suspicious
56,604,0.000244085,Suspicious
57,654,0.000244036,Suspicious
58,827,0.000239883,Suspicious
59,666,0.000239243,Suspicious
60,591,0.000238605,Suspicious
61,849,0.000238061,Suspicious
62,645,0.000237397,Suspicious
63,669,0.000236554,Suspicious
64,830,0.000235814,Suspicious
65,662,0.000233357,Suspicious
66,665,0.000231432,Suspicious
67,644,0.000230751,Suspicious
68,630,0.000230623,Suspicious
69,829,0.000229092,Suspicious
