Rank,NodeID,Score,Status
1,414,0.107463,Seed
2,348,0.107178,Seed
3,107,0.107123,Seed
4,0,0.106984,Seed
5,686,0.106734,Seed
6,853,0.00312719,Suspicious
7,563,0.00300615,Suspicious
8,681,0.00203491,Suspicious
9,561,0.00176052,Suspicious
10,682,0.00172503,Suspicious
11,683,0.00165484,Suspicious
12,680,0.00162147,Suspicious
13,570,0.00161829,Suspicious
14,332,0.00160664,Suspicious
15,559,0.00159127,Suspicious
16,828,0.00155446,Suspicious
17,651,0.00155234,Suspicious
18,848,0.00150837,Suspicious
19,685,0.001475,Suspicious
20,566,0.00147368,Suspicious
21,675,0.00146441,Suspicious
22,856,0.00145646,Suspicious
23,833,0.00144375,Suspicious
24,842,0.00138389,Suspicious
25,553,0.00138336,Suspicious
26,567,0.00137462,Suspicious
27,684,0.00134893,Suspicious
28,557,0.00133621,Suspicious
29,849,0.00132986,Suspicious
30,840,0.00130152,Suspicious
31,678,0.00129701,Suspicious
32,322,0.00129463,Suspicious
33,556,0.00128774,Suspicious
34,544,0.0012451,Suspicious
35,670,0.00123981,Suspicious
36,827,0.00120564,Suspicious
37,834,0.00120458,Suspicious
38,830,0.00118313,Suspicious
39,329,0.00116035,Suspicious
40,839,0.00113466,Suspicious
41,829,0.00112645,Suspicious
42,1888,0.00109731,Suspicious
43,604,0.00109042,Suspicious
44,542,0.00108486,Suspicious
45,671,0.0010838,Suspicious
46,339,0.00105917,Suspicious
47,669,0.00105493,Suspicious
48,666,0.00104831,Suspicious
49,513,0.00103613,Suspicious
50,342,0.00103269,Suspicious
51,645,0.00103083,Suspicious
52,555,0.0010303,Suspicious
53,591,0.0010258,Suspicious
54,524,0.00102553,Suspicious
55,1902,0.00100461,Suspicious
56,637,0.000984481,Suspicious
57,475,0.000983157,Suspicious
58,847,0.00097733,Suspicious
59,532,0.000972562,Suspicious
60,654,0.000972298,Suspicious
61,554,0.000956936,Suspicious
62,346,0.000953493,Suspicious
63,343,0.000944223,Suspicious
64,514,0.000941309,Suspicious
65,580,0.000934688,Suspicious
66,665,0.000932569,Suspicious
67,1882,0.000932304,Suspicious
68,606,0.000931244,Suspicious
69,483,0.000927272,Suspicious
70,506,0.000912704,Suspicious
71,1911,0.000909526,Suspicious
72,515,0.000908202,Suspicious
73,822,0.000907407,Suspicious
74,500,0.000906613,Suspicious
75,662,0.000903964,Suspicious
76,564,0.000887013,Suspicious
77,824,0.000879597,Suspicious
78,850,0.000872446,Suspicious
79,806,0.000866619,Suspicious
80,838,0.000853906,Suspicious
81,823,0.000852052,Suspicious
82,558,0.000848608,Suspicious
83,677,0.000840133,Suspicious
84,315,0.000838279,Suspicious
85,496,0.000837749,Suspicious
